lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E07000223,Adur,566, 0.22 , 0.12 , 0.66 ,253, 0.25 , -   , 0.65 ,312, 0.20 , 0.12 , 0.68 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,10-20%,60-70%
E07000026,Allerdale,493, 0.22 , 0.11 , 0.66 ,221, 0.22 , -   , 0.66 ,270, 0.23 , -   , 0.67 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E07000032,Amber Valley,462, 0.24 , 0.11 , 0.64 ,211, 0.26 , -   , 0.66 ,251, 0.22 , 0.15 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000224,Arun,474, 0.24 , 0.13 , 0.63 ,200, 0.19 , 0.13 , 0.68 ,273, 0.28 , 0.14 , 0.59 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000170,Ashfield,424, 0.31 , 0.10 , 0.59 ,196, 0.31 , -   , 0.61 ,226, 0.30 , -   , 0.58 ,30-40%,10-20%,50-60%,30-40%,NA,60-70%,20-30%,NA,50-60%
E07000105,Ashford,464, 0.31 , 0.11 , 0.58 ,209, 0.31 , -   , 0.63 ,253, 0.31 , 0.17 , 0.52 ,30-40%,10-20%,50-60%,30-40%,NA,60-70%,30-40%,10-20%,50-60%
E07000004,Aylesbury Vale,480, 0.20 , 0.15 , 0.65 ,213, 0.22 , 0.13 , 0.65 ,267, 0.18 , 0.17 , 0.65 ,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%
E07000200,Babergh,451, 0.24 , 0.13 , 0.62 ,185, 0.21 , -   , 0.66 ,265, 0.26 , 0.14 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E09000002,Barking and Dagenham,476, 0.39 , 0.10 , 0.52 ,202, 0.39 , -   , 0.52 ,272, 0.38 , 0.11 , 0.51 ,30-40%,0-10%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E09000003,Barnet,505, 0.25 , 0.11 , 0.64 ,215, 0.22 , -   , 0.67 ,288, 0.27 , 0.11 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
