Broad Activity Categories ,Broad Activity Codes ,Activity Groups,Activity Groups Codes,Activities,Activities Code,Disciplines,Disciplines Code,
All walking,_WALKALL_C01,Walking for leisure,_WALKALL_C01,,,,,
All walking,_WALKALL_C02,Walking for travel,_WALKTRAV_B02,,,,,
All cycling,_CYCALL_C02,Cycling for leisure and sport,_CYCLEISSPORT_B03,,,Cycling for leisure,_CYCLEISURE_N01,
All cycling,_CYCALL_C03,Cycling for leisure and sport,_CYCLEISSPORT_B04,,,Mountain biking,_CYCMOUNTAIN_N02,
All cycling,_CYCALL_C04,Cycling for leisure and sport,_CYCLEISSPORT_B05,,,BMX,_CYCBMX_N03,
All cycling,_CYCALL_C05,Cycling for leisure and sport,_CYCLEISSPORT_B06,,,Road cycling or racing,_CYCROAD_N04,
All cycling,_CYCALL_C06,Cycling for leisure and sport,_CYCLEISSPORT_B07,,,Track cycling,_CYCTRACK_N05,
All cycling,_CYCALL_C07,Cycling for leisure and sport,_CYCLEISSPORT_B08,,,Cyclo-cross,_CYCCROSS_N06,
All cycling,_CYCALL_C08,Cycling for leisure and sport,_CYCLEISSPORT_B09,,,Cycle class,_CYCLECLASS_P06,
All cycling,_CYCALL_C09,Cycling for leisure and sport,_CYCLEISSPORT_B10,,,Exercise bike,_EXBIKE_P12,
All cycling,_CYCALL_C10,Cycling for travel,_CYCTRAV_B04,,,,,
Creative or artistic dance (referred to as Dance),_DANCEART_B05,,,,,,,
Fitness activities,_FITNESS_B06,,,Fitness class,_FITCLASS_E02,Pilates,_PILATES_P01,
Fitness activities,_FITNESS_B07,,,Fitness class,_FITCLASS_E02,Yoga,_YOGA_P02,
Fitness activities,_FITNESS_B08,,,Fitness class,_FITCLASS_E03,Boxing class,_BOXCLASS_P03,
Fitness activities,_FITNESS_B09,,,Fitness class,_FITCLASS_E04,Cardio class,_CARDIOCLASS_P04,
Fitness activities,_FITNESS_B10,,,Fitness class,_FITCLASS_E05,Core strength class,_CORECLASS_P05,
Fitness activities,_FITNESS_B11,,,Fitness class,_FITCLASS_E06,Cycle class,_CYCLECLASS_P06,
Fitness activities,_FITNESS_B12,,,Fitness class,_FITCLASS_E07,Dance-based class,_DANCECLASS_P07,
Fitness activities,_FITNESS_B13,,,Fitness class,_FITCLASS_E08,Water-based class,_WATERCLASS_P08,
Fitness activities,_FITNESS_B14,,,Fitness class,_FITCLASS_E09,Weights-based class,_WEIGHTSCLASS_P09,
Fitness activities,_FITNESS_B15,,,Fitness class,_FITCLASS_E10,Other fitness or exercise class,_OTHERFITCLASS_P10,
Fitness activities,_FITNESS_B16,,,Gym session,_GYM_E01,,,
Fitness activities,_FITNESS_B17,,,Exercise machines,_EXMACHINES_E03,Cross training machine,_XTRAINMACHINE_P11,
Fitness activities,_FITNESS_B18,,,Exercise machines,_EXMACHINES_E03,Exercise bike,_EXBIKE_P12,
Fitness activities,_FITNESS_B19,,,Exercise machines,_EXMACHINES_E04,Rowing machine,_ROWMACHINE_P13,
